open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1676127600000,21751.04000000,21758.63000000,21718.21000000,21735.78000000,6005.11938000,1676131199999,130534164.93137010,143351,2906.61209000,63182880.64994430,0
1676131200000,21735.78000000,21737.89000000,21679.19000000,21693.14000000,6767.98873000,1676134799999,146930823.95589030,152588,3251.99352000,70599902.34429730,0
1676134800000,21693.48000000,21700.00000000,21663.26000000,21698.86000000,5603.42245000,1676138399999,121522078.30826980,133221,2780.69204000,60306227.22635460,0
1676138400000,21698.86000000,21731.49000000,21618.23000000,21654.03000000,8684.49347000,1676141999999,188240706.60111740,193168,4230.56069000,91703796.63955890,0
1676142000000,21654.43000000,21673.68000000,21645.63000000,21662.63000000,5438.65762000,1676145599999,117799495.40879620,135211,2741.22249000,59374778.40359190,0
1676145600000,21662.36000000,21717.14000000,21645.21000000,21671.38000000,6135.63566000,1676149199999,132978062.79921630,151840,3087.82065000,66924496.61394220,0
1676149200000,21671.83000000,21850.00000000,21661.59000000,21823.56000000,8911.43128000,1676152799999,193804134.35377690,204813,4710.50010000,102444592.72689050,0
1676152800000,21823.56000000,21878.99000000,21778.84000000,21824.52000000,7887.96320000,1676156399999,172121595.55833660,174557,3915.66153000,85445340.84848310,0
1676156400000,21824.52000000,21906.32000000,21809.25000000,21862.55000000,8059.88212000,1676159999999,176150505.85107870,173635,4072.74707000,89014969.97064470,0
1676160000000,21862.02000000,21890.16000000,21803.00000000,21816.37000000,7118.92695000,1676163599999,155490304.20846270,170495,3540.99255000,77345245.04524750,0
1676163600000,21816.37000000,21844.81000000,21785.17000000,21808.28000000,6348.99058000,1676167199999,138464496.87783220,156122,3164.91300000,69024632.88365170,0
1676167200000,21808.28000000,21821.31000000,21766.00000000,21816.22000000,6460.50512000,1676170799999,140807662.64110110,162290,3251.94546000,70877722.45888990,0
1676170800000,21815.61000000,21821.87000000,21778.32000000,21781.38000000,5822.50916000,1676174399999,126930488.50517660,153011,2878.15469000,62744155.24664000,0
1676174400000,21781.38000000,21790.79000000,21761.04000000,21782.97000000,6711.94657000,1676177999999,146163746.74930700,153736,3378.01432000,73563106.42948880,0
1676178000000,21782.97000000,21803.20000000,21772.19000000,21799.98000000,5613.42234000,1676181599999,122319345.32696050,137098,2867.25064000,62479767.08264880,0
1676181600000,21799.50000000,21817.15000000,21792.25000000,21809.62000000,6415.97712000,1676185199999,139889131.45612000,145593,3247.65725000,70810847.54633810,0
1676185200000,21809.77000000,21813.16000000,21795.79000000,21798.42000000,5986.83819000,1676188799999,130542230.63177560,133555,2898.10957000,63193760.12641320,0
1676188800000,21798.42000000,21852.97000000,21798.01000000,21804.89000000,7187.72568000,1676192399999,156803168.59948510,159867,3577.90031000,78052556.44164070,0
1676192400000,21804.89000000,21960.00000000,21801.14000000,21907.00000000,11022.62431000,1676195999999,240973074.97898270,236873,5610.36450000,122653938.90349160,0
1676196000000,21907.00000000,21922.06000000,21842.74000000,21880.47000000,8251.62194000,1676199599999,180533791.86351230,183469,4082.81767000,89328578.99387320,0
1676199600000,21880.03000000,21893.80000000,21859.35000000,21888.31000000,6123.24231000,1676203199999,133958455.77035570,137853,3027.87432000,66242849.16387630,0
1676203200000,21888.31000000,21897.12000000,21811.26000000,21821.60000000,9318.16374000,1676206799999,203721172.01296870,197707,4460.14157000,97517476.97446020,0
1676206800000,21820.70000000,21836.88000000,21756.04000000,21817.51000000,9299.30632000,1676210399999,202766385.01748290,210975,4523.34513000,98631930.85262130,0
1676210400000,21817.81000000,21995.60000000,21810.27000000,21923.78000000,12453.70458000,1676213999999,272665958.26217070,246826,6424.32120000,140652327.95861500,0
